Geneid	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000027397	Slc20a1	1609.0292133860155	0.7281566911059973	0.1446182926082983	5.035024808916981	4.777869502042149e-07	0.0038234900690092
ENSMUSG00000027890	Gstm4	811.0835614332842	0.6396137874577167	0.1317873601891395	4.8533773386138925	1.2137642748026486e-06	0.0064754324060721
ENSMUSG00000037287	Tbcel	2711.5185943713504	0.6092341371711758	0.1273013056889052	4.785765031035911	1.7033724450644363e-06	0.006815618995814
ENSMUSG00000090622	A930033H14Rik	544.9884635415921	1.2210182290237397	0.2631721390195586	4.639618135767004	3.4905355591932855e-06	0.0080229318062639
ENSMUSG00000030762	Aqp8	2782.1001252606284	1.0694750240087616	0.2280998112539034	4.6886273957425715	2.7504366679672507e-06	0.0080229318062639
ENSMUSG00000005628	Tmod4	22.219636563463336	2.291705282469829	0.5086093774071344	4.505825854318357	6.611529432191768e-06	0.011757503173581
ENSMUSG00000035104	Eva1a	2097.360185720203	0.5258794953801201	0.1165366464808878	4.512567602212278	6.404751076709304e-06	0.011757503173581
ENSMUSG00000074622	Mafb	6741.896387494638	1.0295475870137878	0.2348997133338013	4.382923982332673	1.1709698054672796e-05	0.0156178097804198
ENSMUSG00000036687	Tmem184a	407.4889029507673	0.4936778107505757	0.1122232229936156	4.399069974836323	1.0871577115408944e-05	0.0156178097804198
ENSMUSG00000052102	Gnpda1	586.6581815947085	0.525225126639918	0.1219192836345337	4.307974185727152	1.6475660811392785e-05	0.0202840731758724
ENSMUSG00000026576	Atp1b1	2674.25553106416	0.6435535943083962	0.1512109333422624	4.25599908739223	2.0811755471513548e-05	0.0222061430881049
ENSMUSG00000064337	mt-Rnr1	30434.295691678224	0.5241455405128731	0.1274289995256996	4.113235938944687	3.901512696800878e-05	0.0367315945366459
ENSMUSG00000039116	Adgrg6	58.7310373776235	1.2336880369667993	0.3042292480542277	4.055126339289046	5.0107212741785424e-05	0.0445536633295708
ENSMUSG00000028680	Plk3	2181.938983925067	0.6014937959654654	0.1488830974949166	4.040040851420373	5.344189205428798e-05	0.0450177622278357
ENSMUSG00000030256	Bhlhe41	109.05410227693396	1.0547468772820217	0.2625989316592646	4.016569567200712	5.905143765166919e-05	0.0468092191440956
