	C-Ba-1	C-Ba-2	C-Ba-3	C-FLT-1	C-FLT-2	C-FLT-4	C-GC-2	C-GC-3	C-GC-5
C-Ba-1	1.0	0.9908612675303939	0.9915164903622511	0.9844296608313978	0.9869011991108992	0.9865734361327579	0.9892559718654295	0.9896403654684323	0.9757504143858389
C-Ba-2	0.9908612675303939	1.0	0.9917692822636355	0.9871110527628609	0.9835988988776674	0.9835368861807168	0.9877540296954996	0.9881881270995206	0.9850035218663745
C-Ba-3	0.9915164903622511	0.9917692822636355	1.0	0.984691664408241	0.9863538314999779	0.9860557499726772	0.9886603572766318	0.987715645352321	0.9775012859759776
C-FLT-1	0.9844296608313978	0.9871110527628609	0.984691664408241	1.0	0.9874048087785231	0.9877230841597608	0.9882171572139197	0.9880926616636864	0.9856614284519283
C-FLT-2	0.9869011991108992	0.9835988988776674	0.9863538314999779	0.9874048087785231	1.0	0.9972038912297448	0.9920615113673544	0.990054494423617	0.9773587831591334
C-FLT-4	0.9865734361327579	0.9835368861807168	0.9860557499726772	0.9877230841597608	0.9972038912297448	1.0	0.992164756486551	0.9897980566855608	0.978052027054674
C-GC-2	0.9892559718654295	0.9877540296954996	0.9886603572766318	0.9882171572139197	0.9920615113673544	0.992164756486551	1.0	0.9896138604863778	0.9815323587971353
C-GC-3	0.9896403654684323	0.9881881270995206	0.987715645352321	0.9880926616636864	0.990054494423617	0.9897980566855608	0.9896138604863778	1.0	0.9792454178292866
C-GC-5	0.9757504143858389	0.9850035218663745	0.9775012859759776	0.9856614284519283	0.9773587831591334	0.978052027054674	0.9815323587971353	0.9792454178292866	1.0
